,title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,price_category,mileage_category
43186,Honda City 1.3 i-VTEC Prosmatec,3150000,Chichawatni,2014,123000,Petrol,Automatic,Lahore,Taffeta White,Local,1300,Medium,High
43187,Suzuki Bolan VX Euro II,890000,Mardan,2015,80000,Petrol,Not Available,Mardan,Green,Local,800,Low,Medium
43189,Suzuki Mehran VXR,500000,Abbottabad,1998,100000,Petrol,Not Available,Sindh,Snow White Pearl,Local,800,Low,Medium
43192,Honda City 1.3 i-VTEC,3200000,Taunsa sharif,2017,125000,Petrol,Not Available,Lahore,Taffeta White,Local,1300,Medium,High
43193,Honda Civic EXi Prosmatec,2085000,Peshawar,2005,132000,Petrol,Automatic,Islamabad,Crystal Black,Local,1500,Low,High
43194,Honda City 1.3 i-VTEC,2925000,Lahore,2015,155000,Petrol,Not Available,Lahore,Urban Titanium,Local,1300,Medium,High
43197,Honda Civic VTi Oriel 1.6,1275000,Abbottabad,2002,1,Petrol,Not Available,Sindh,Grey,Imported,1600,Low,Low
43199,Suzuki Cultus Limited Edition,1750000,Jauharabad,2016,90000,Petrol,Not Available,Lahore,Solid White,Local,1000,Low,Medium
43201,Suzuki Swift DLX 1.3 Navigation,1700000,Lahore,2018,105000,Petrol,Not Available,Lahore,White,Local,1300,Low,High
43202,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,7100000,Lahore,2022,5096,Petrol,Automatic,Lahore,Grey,Local,1800,High,Low
43203,Suzuki Mehran VXR,370000,Karachi,1997,155000,Petrol,Not Available,Sindh,Snow White Pearl,Local,800,Low,High
43207,Honda Civic EXi,1650000,Lahore,2002,140000,Petrol,Not Available,Lahore,Pink,Local,1500,Low,High
43208,Suzuki Alto VXR,944999,Peshawar,2009,105000,Petrol,Not Available,Lahore,Mahan Did,Local,1000,Low,High
43212,Honda Civic VTi Oriel 1.6,2570000,Rawalpindi,2006,96000,Petrol,Not Available,Islamabad,Black,Local,1600,Medium,Medium
43213,Toyota Corolla GLi 1.3 VVTi,2600000,Sargodha,2012,195,Petrol,Not Available,Lahore,Silver,Local,1300,Medium,Low
43214,Toyota Aqua S,5800000,Lahore,2019,65000,Hybrid,Automatic,Un-Registered,Blue Metallic,Imported,1500,High,Medium
43220,Daihatsu Mira L,3100000,Hyderabad,2018,60000,Petrol,Automatic,Sindh,White,Imported,660,Medium,Medium
43221,Suzuki Mehran VXR (CNG),600000,Abbottabad,2005,9700,Petrol,Not Available,Sindh,Maroon,Local,800,Low,Low
43223,Honda Civic Oriel 1.8 i-VTEC CVT,6000000,Lahore,2018,25000,Petrol,Automatic,Lahore,Taffeta White,Local,1800,High,Low
43228,Toyota Land Cruiser ZX,48000000,Lahore,2018,13600,Petrol,Automatic,Un-Registered,White,Imported,4600,High,Low
43229,Toyota Yaris ATIV X CVT 1.5,4850000,Lahore,2022,40000,Petrol,Automatic,Punjab,Attitude Black,Local,1500,High,Low
43233,Suzuki Wagon R VXL,2475000,Shorkot,2019,70000,Petrol,Not Available,Lahore,Solid White,Local,1000,Medium,Medium
43234,Suzuki Wagon R VXL,1889999,Karachi,2017,110000,Petrol,Not Available,Karachi,Brown,Local,1000,Low,High
43238,Toyota Aqua S,6650000,Karachi,2021,55000,Hybrid,Automatic,Un-Registered,White,Imported,1500,High,Medium
43239,Mercedes Benz C Class C180,1600000,Rawalpindi,2000,265000,Petrol,Not Available,Punjab,Blue,Imported,1800,Low,High
43242,Toyota Corolla GLi Automatic 1.3 VVTi,3585000,Kharian,2015,106000,Petrol,Automatic,Islamabad,Silver Metallic,Local,1300,Medium,High
43243,Toyota C-HR G-LED,7000000,Multan,2017,125000,Hybrid,Automatic,Islamabad,Silver,Imported,1800,High,High
43246,Honda City Aspire 1.5 i-VTEC,3150000,Jauharabad,2013,115000,Petrol,Not Available,Lahore,Crystal Black,Local,1500,Medium,High
43247,Suzuki Mehran VXR,480000,Karachi,2006,45000,Petrol,Not Available,Sindh,Maroon,Local,800,Low,Low
43248,Toyota Corolla Altis Automatic 1.6,3750000,Lahore,2016,165000,Petrol,Automatic,Punjab,White,Local,1600,Medium,High
43251,KIA Sportage FWD,7000000,Lahore,2021,50000,Petrol,Automatic,Punjab,White,Local,2000,High,Low
43253,DFSK Glory 580 Pro,6300000,Peshawar,2023,9000,Petrol,Automatic,Islamabad,White,Local,1500,High,Low
43255,Toyota Yaris ATIV X CVT 1.5,5025000,Karachi,2022,5500,Petrol,Automatic,Sindh,Super White,Local,1500,High,Low
43256,Honda Civic,5700000,Islamabad,2019,70000,Petrol,Automatic,Islamabad,Grey,Local,1800,High,Medium
43258,Toyota Corolla XLi VVTi,2700000,Islamabad,2012,100000,Petrol,Not Available,Islamabad,White,Local,1300,Medium,Medium
43260,Suzuki Mehran VX,800000,Wah cantt,2011,30000,Petrol,Not Available,Islamabad,Gray Metallic,Local,800,Low,Low
43261,Suzuki Cultus EURO II,1750000,Islamabad,2014,71000,Petrol,Not Available,Islamabad,White,Local,1000,Low,Medium
43265,Suzuki Wagon R,2750000,Lakki marwat,2020,29750,Petrol,Not Available,Islamabad,Silver,Local,1000,Medium,Low
43266,Toyota Corolla XE,1200000,Peshawar,1994,10000,Petrol,Not Available,Lahore,Green,Local,1300,Low,Low
43269,Toyota Corolla GLi 1.3 VVTi,2450000,Mirpur ak,2009,352186,Petrol,Not Available,Lahore,Shimmering Green,Local,1300,Medium,High
43272,Suzuki Bolan VX,730000,Karachi,2007,100000,Petrol,Not Available,Sindh,White,Local,800,Low,Medium
43273,Toyota Yaris Hatchback,4500000,Lahore,2020,11000,Petrol,Automatic,Un-Registered,Indigo,Local,1000,High,Low
43274,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,2050000,Karachi,2009,1350,Petrol,Automatic,Sindh,Navy,Imported,1800,Low,Low
43275,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,6850000,Karachi,2022,20000,Petrol,Automatic,Sindh,Super white,Local,1800,High,Low
43277,Suzuki Cultus VXR,825000,Lahore,2002,2000,Petrol,Not Available,Sialkot,White,Local,1000,Low,Low
43278,Suzuki Cultus VXR,730000,Karachi,2006,80000,Not Available,Not Available,Karachi,Gun Matery,Local,1000,Low,Medium
43279,Toyota Hilux Revo V Automatic 2.8,12200000,Karachi,2021,35,Diesel,Automatic,Sindh,Attitude Black,Local,2800,High,Low
43281,Suzuki Cultus VXR,900000,Khanewal,2002,99999,Petrol,Not Available,Lahore,White,Local,1000,Low,Medium
43282,Honda Civic,1000000,Karachi,1994,4000,Petrol,Not Available,Karachi,Green,Imported,1600,Low,Low
43283,Honda City i-DSI,1875000,Okara,2008,123456,Petrol,Not Available,Sindh,White,Local,1300,Low,High
43286,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,2170000,Lahore,2007,280000,Petrol,Automatic,Punjab,Black,Local,1800,Low,High
43288,Honda Civic EXi,1490000,Taxila,2002,200000,Petrol,Not Available,Lahore,Indigo,Imported,1500,Low,High
43289,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,3985000,Chakwal,2014,98000,Petrol,Automatic,Islamabad,Crystal Black,Local,1800,Medium,Medium
43291,Toyota Yaris ATIV CVT 1.3,4300000,Hyderabad,2021,35000,Petrol,Automatic,Karachi,Silver,Local,1300,High,Low
43292,Honda City 1.3 i-VTEC,3600000,Rawalpindi,2018,81800,Petrol,Not Available,Islamabad,Lunar Silver Metallic,Local,1300,Medium,Medium
43293,Honda Civic 1.8 i-VTEC CVT,5250000,Islamabad,2018,82000,Petrol,Automatic,Islamabad,Modern Steel Metallic,Local,1800,High,Medium
43294,Toyota Vitz F 1.0,2100000,Layyah,2010,123456,Petrol,Automatic,Multan,Silver,Imported,1000,Low,High
43296,Honda Civic Oriel 1.8 i-VTEC CVT,5500000,Sialkot,2017,65000,Petrol,Automatic,Islamabad,Taffeta White,Local,1800,High,Medium
43299,Honda BR-V i-VTEC S,5150000,Peshawar,2020,38000,Petrol,Automatic,Islamabad,Silver,Local,1500,High,Low
